Sample_name	Code	State	City	Location	catchment	Sampler_Start_Date	Sampler End Date	Arrival date	Simplified_date	Sample_Group	Legacy_samples	Ct_N1	Mean	Breadth	Read_count	Bad_quality	Comments	Mean_galaxy	Breadth_galaxy	Read_count_galaxy
BD17	23X	Oregon	Ontario	Ontario	Ontario City Inf	2021-12-26	2021-12-27	2021-01-05		Batch7		30.45						3791.92	95.3516	898103
B34	2X	Washington	DesMoines	DesMoines	MidwaySewerDistrict	2021-08-16	2021-08-17	2021-08-18	21-08	Batch2		31.208	1510.8	99.5719	360885			1307.12	95.3182	314729
3503	24X	Arizona	Tempe	TP07	Downtown/TP07	2022-02-28	2022-03-01	2022-03-01		Batch8		34.03						766.013	95.3115	182698
B171	9X	Arizona	Scottsdale	Scottsdale	COS Water Quailty Laboratory	2021-11-15	2021-11-16	2021-11-17		Batch5		29.874	1572.88	99.5987	379898			1332.09	95.3015	336971
B33	6X	Washington	WallaWalla	WallaWalla	WWTP	2021-08-16	2021-08-17	2021-08-18	21-08	Batch2		31.165	483.775	99.6221	114453			420.764	95.2446	100852
B281	35X	Washington	Sequim	Sequim Water Reclamation Facility	City of Sequim WRF	2022-01-31	2022-02-01	2022-02-02		Batch7		29.264						667.423	95.2078	166153
B161	23X	Oregon	Ontario	Ontario	Ontario City Inf	2021-11-08	2021-11-09	2021-11-10		Batch5		30.328	1757.28	99.6188	422823			1489.28	95.1644	364535
B78	7X	Washington	Spokane	Spokane	SpokaneCountyRegionalWaterFacility	2021-09-13	2021-09-14	2021-09-16	21-09	Batch4		29.928	4890.52	99.6154	1182701			4209.88	95.1577	1020720
B9	9X	Arizona	Scottsdale	Scottsdale	CityofScottsdaleWaterCampus	2021-07-20	2021-07-21	2021-07-22	21-07	Batch1		32.747	818.542	98.0336	193184			764.769	95.0306	185540
B55	4X	New Mexico	Farmington	Farmington	Farmington WWTP	2021-08-30	2021-08-31	2021-09-01	21-08	Batch3		31.751	1233.8	99.5719	293356			1057.54	95.0038	252692
2989	10X	Arizona	Tempe	TP01	TP01	2021-11-22	2021-11-23	2021-11-23	21-11	Batch5		29.452	1591.33	99.689	382911			1357.55	94.9704	348550
3348	33X	Arizona	Tempe	TP06	Spence/TP06	2022-01-31	2022-02-01	2022-02-01		Batch7		29.184						3616.24	94.957	875879
B271	25X	Illinois	Carol Stream	Carol Stream	Carol Stream WRC	2022-01-31	2022-02-01	2022-02-02		Batch7		30.119						1761.41	94.9002	426992
B120	7X	Washington	Spokane	Spokane	SpokaneCountyRegionalWaterFacility	2021-10-11	2021-10-12	2021-10-13	21-10	Batch4		29.242	4563.63	99.4014	1129847			4026.76	94.8801	1013260
2714	13X	Arizona	Tempe	TP04	TP04	2021-09-29	2021-09-30	2021-09-30	21-09	Batch4		32.163	1468.98	97.6691	351527			1330.06	94.8634	327816
B182	32X	Oregon	Gresham	Gresham	Gresham WWTP	2021-11-22	2021-11-23	2021-11-24		Batch5		31.112	9864.53	99.6957	2360353			8287.98	94.8534	1991822
B48	1X	Georgia	Americus	Americus	Americus Mill Creek WPCF	2021-08-30	2021-08-31	2021-09-01	21-08	Batch3		30.06	2299.39	99.6221	544708			1860.67	94.83	442352
B312	37X	Texas	Houston	69th Street	69th Street	2022-02-28	2022-03-01	2022-03-02		Batch8		32.804						1337.92	94.8199	329147
2721	19X	Arizona	Mesa	ME01	ME01	2021-09-29	2021-09-30	2021-09-30	21-09	Batch4		29.353	2472.76	99.4114	595458			2128.73	94.8166	515749
B145	5X	Washington	DesMoines	Redondo	Redondo WWTP	2021-10-25	2021-10-26	2021-10-27	21-10	Batch3		30.233	1193.73	99.6823	281041			971.434	94.8099	236416
2992	13X	Arizona	Tempe	TP04	TP04	2021-11-22	2021-11-23	2021-11-23	21-11	Batch5		32.816	1923.11	99.4817	457938			1528.13	94.8032	368818
2565	10X	Arizona	Tempe	TP01	TP01	2021-08-30	2021-08-31	2021-08-31	21-08	Batch3		30.654	1034.81	98.8764	244829			930.497	94.7463	224615
3204	20X	Arizona	Mesa	ME02	ME02	2022-01-03	2022-01-04	2022-01-04		Batch6		29.65						1116.76	94.6895	264583
B70	1X	Georgia	Americus	Americus	Americus Mill Creek WPCF	2021-09-13	2021-09-14	2021-09-15	21-09	Batch4		30.444	2739.2	98.853	658788			2182.65	94.6862	541319
